NO_OF_FRAMES	10579
NO_OF_CAMERAS	7
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-06, 13:19:24	952722.45180950
DATA_INCLUDED	3D
MARKER_NAMES	TMF_D	TMF_E	EIAS_E	EIPS_D	EIPS_E	TC	GA	CM_D	CM_E	AEC7	IJE	AC_D	AC_E	EIAS_D
1202	12.01000	358.779	244.306	776.255	395.758	655.628	784.724	499.921	520.607	861.742	261.270	420.140	991.013	267.275	503.459	992.904	454.937	442.382	1769.218	535.230	443.718	1646.151	422.864	363.358	1611.442	433.288	533.869	1615.311	267.784	444.191	1472.296	440.975	441.329	1408.842	354.149	225.167	1437.527	363.109	649.657	1446.093	489.778	337.168	859.021
1203	12.02000	358.804	244.318	776.273	395.271	655.475	784.445	499.927	520.608	861.789	261.236	420.153	991.032	267.210	503.399	992.969	454.674	442.419	1769.307	535.052	443.723	1646.313	422.748	363.370	1611.492	433.154	533.922	1615.347	267.755	444.214	1472.280	440.979	441.398	1408.843	354.074	225.171	1437.509	363.041	649.676	1446.111	489.779	337.113	859.098
1204	12.03000	358.803	244.319	776.259	395.228	655.457	784.521	499.811	520.637	861.727	261.261	420.144	991.030	267.206	503.359	993.002	454.400	442.457	1769.394	534.917	443.772	1646.512	422.666	363.413	1611.552	433.013	533.903	1615.420	267.725	444.186	1472.306	440.988	441.490	1408.872	354.005	225.150	1437.469	362.977	649.690	1446.127	489.783	337.116	859.091
1205	12.04000	358.786	244.339	776.272	395.259	655.468	784.463	499.868	520.627	861.761	261.220	420.163	991.044	267.197	503.400	992.963	454.170	442.492	1769.489	534.771	443.810	1646.644	422.574	363.423	1611.616	432.906	533.965	1615.451	267.722	444.212	1472.297	441.025	441.569	1408.893	353.935	225.145	1437.433	362.952	649.710	1446.136	489.780	337.126	859.113
1206	12.05000	358.787	244.353	776.270	395.253	655.461	784.518	499.874	520.646	861.776	261.220	420.163	991.044	267.165	503.360	993.038	453.942	442.525	1769.564	534.620	443.811	1646.769	422.473	363.458	1611.648	432.790	533.963	1615.493	267.679	444.229	1472.294	441.026	441.617	1408.905	353.830	225.144	1437.364	362.929	649.696	1446.147	489.758	337.137	859.093
1207	12.06000	358.745	244.355	776.276	395.210	655.489	784.536	499.873	520.622	861.788	261.235	420.185	991.051	267.194	503.435	992.983	453.711	442.532	1769.618	534.493	443.849	1646.874	422.369	363.466	1611.675	432.679	533.966	1615.551	267.656	444.248	1472.243	441.065	441.728	1408.947	353.736	225.129	1437.329	362.901	649.708	1446.158	489.766	337.147	859.091
1208	12.07000	358.759	244.365	776.278	395.756	655.677	784.694	499.928	520.651	861.787	261.225	420.218	991.059	267.226	503.457	992.995	453.496	442.554	1769.671	534.389	443.888	1646.989	422.296	363.476	1611.721	432.542	534.006	1615.576	267.628	444.227	1472.257	441.072	441.802	1408.939	353.635	225.116	1437.275	362.864	649.759	1446.163	489.749	337.207	859.034
1209	12.08000	358.758	244.381	776.273	395.245	655.495	784.504	499.926	520.653	861.774	261.223	420.215	991.051	267.248	503.518	992.967	453.269	442.559	1769.708	534.265	443.907	1647.066	422.188	363.485	1611.737	432.402	534.019	1615.589	267.612	444.266	1472.225	441.080	441.822	1408.900	353.571	225.126	1437.242	362.855	649.765	1446.184	489.770	337.139	859.084
1210	12.09000	358.739	244.392	776.300	395.152	655.509	784.555	499.868	520.663	861.740	261.242	420.259	991.041	267.268	503.530	992.946	453.043	442.570	1769.743	534.151	443.909	1647.138	422.092	363.496	1611.750	432.368	534.013	1615.635	267.607	444.288	1472.222	441.118	441.905	1408.884	353.454	225.098	1437.238	362.795	649.805	1446.173	489.737	337.243	859.013
1211	12.10000	358.762	244.420	776.280	395.240	655.541	784.520	499.923	520.692	861.739	261.258	420.262	991.028	267.255	503.532	992.940	452.842	442.565	1769.797	534.077	443.917	1647.239	422.001	363.492	1611.764	432.269	534.021	1615.688	267.590	444.309	1472.227	441.128	442.044	1408.893	353.385	225.112	1437.212	362.716	649.820	1446.166	489.772	337.177	859.073
